outdated_hugo_symbol	new_hugo_symbol
ABCF2-H2BE1	ABCF2-H2BK1
ABHD11-AS1	BICDL3P
AKAP2	PALM2AKAP2
AKR1C8P	AKR1C8
ALG1L	ALG1L1P
ARNTL	BMAL1
ARNTL2	BMAL2
ARNTL2-AS1	BMAL2-AS1
ATE1-AS1	ATE1OSP
ATP6	MT-ATP6
ATP8	MT-ATP8
B7H6	NCR3LG1
BHLHB9	GPRASP3
BOLA3-AS1	BOLA3-DT
BTBD11	ABTB3
BTNL10	BTNL10P
C1orf147	IKBKE-AS1
C1orf158	CFAP107
C1orf189	CFAP141
C1orf194	CFAP276
C1ORF196	KAZN
C3orf35	APRG1
C3orf56	PRR23E
C3orf86	C3orf86P
C5orf38	IRX2-DT
C5orf49	CFAP90
C5orf51	RIMOC1
C6orf201	TEX56P
C6orf223	LINC03040
C6ORF183	CCDC162P
C7orf26	INTS15
C7orf61	SPACDR
C7orf77	LINC03043
C7ORF76	SEM1
C8orf37	CFAP418
C8orf37-AS1	CFAP418-AS1
C8orf86	LINC03042
C9orf47	S1PR3
C9orf92	LINC03041
C9orf106	LINC02913
C9orf116	PIERCE1
C9orf129	FAM120A2P
C9orf135	CFAP95
C9orf135-DT	CFAP95-DT
C9orf147	HSDL2-AS1
C10orf99	GPR15LG
C10ORF12	LCOR
C10ORF113	NEBL
C10ORF131	CC2D2B
C11orf1	CFAP68
C11orf45	KCNJ5-AS1
C11orf49	CSTPP1
C11orf53	POU2AF2
C11orf72	NDUFV1-DT
C11orf94	FREY1
C12ORF74	PLEKHG7
C14orf177	LINC02914
C15orf54	LINC02915
C15orf56	PAK6-AS1
C15orf65	PIERCE2
C16orf72	HAPSTR1
C16orf91	UQCC4
C16orf97	LINC02911
C16ORF47	ZFHX3
C17orf64	CHCT1
C17orf77	CD300LD-AS1
C17orf102	TMEM132E-DT
C17ORF47	SEPTIN4
C18orf12	ZBTB7C-AS2
C19orf71	TEKTIP1
C20orf197	LINC02910
C22orf24	YWHAH-AS1
C22orf34	MIR3667HG
C22orf46	C22orf46P
CARD17	CARD17P
CASC4P1	GOLM2P1
CASTOR3	CASTOR3P
CBWD1	ZNG1A
CBWD2	ZNG1B
CBWD3	ZNG1C
CBWD4P	ZNG1DP
CBWD5	ZNG1E
CBWD6	ZNG1F
CCDC11P1	CFAP53P1
CCDC37-DT	CFAP100-DT
CCDC75P1	GPATCH11P1
CCDC130	YJU2B
CCDC144B	CCDC144BP
CCDC173	CFAP210
CCDC189	CFAP119
CDKN2AP14ARF	CDKN2A
CDKN2AP16INK4A	CDKN2A
CDRT1	FBXW10B
CENPBD1	CENPBD1P
CENPBD1P1	CENPBD2P
CLEC4O	CLEC4OP
CLECL1	CLECL1P
COLCA2	POU2AF3
COX1	MT-CO1
COX2	MT-CO2
COX3	MT-CO3
COX10-AS1	COX10-DT
CRYM-AS1	ABCA15P
CSE1L-AS1	CSE1L-DT
CTTNB1	CTNNB1
CYHR1	ZFTRAF1
CYTB	MT-CYB
DDX58	RIGI
DKFZP434H168	GNAO1-AS1
EEF1AKNMT	METTL13
EFCAB1	CLXN
EIF2B5-IT1	LINC01839
FAM25E	FAM25EP
FAM71A	GARIN4
FAM71B	GARIN3
FAM71BP1	GARIN3P1
FAM71C	GARIN6
FAM71D	GARIN2
FAM71E1	GARIN5A
FAM71E2	GARIN5B
FAM71F1	GARIN1B
FAM71F2	GARIN1A
FAM83H-AS1	IQANK1
FAM90A7P	FAM90A7
FAM90A8P	FAM90A8
FAM90A9P	FAM90A9
FAM90A10P	FAM90A10
FAM90A14P	FAM90A14
FAM90A16P	FAM90A16
FAM90A17P	FAM90A17
FAM90A18P	FAM90A18
FAM90A19P	FAM90A19
FAM90A22P	FAM90A22
FAM90A23P	FAM90A23
FAM96AP1	CIAO2AP1
FAM96AP2	CIAO2AP2
FAM102A	EEIG1
FAM102B	EEIG2
FAM126A	HYCC1
FAM126B	HYCC2
FAM155A	NALF1
FAM155A-IT1	NALF1-IT1
FAM155B	NALF2
FAM169B	FAM169BP
FAM189A1	ENTREP2
FAM189A2	ENTREP1
FAM189B	ENTREP3
FAM198B-AS1	GASK1B-AS1
FAM207A	SLX9
FAM214A	ATOSA
FAM214B	ATOSB
FAM214BP1	ATOSBP1
FAM243A	C21orf140
FBXO30-DT	EPM2A-DT
FCGR1B	FCGR1BP
FLJ23867	QSOX1
FTHL18	FTHL18P
GATD3A	GATD3
GBA	GBA1
GGT2	GGT2P
GK3P	GK3
GNG5P2	GNG5B
GOLGA6L3	GOLGA6L3P
GOLGA6L24P	GOLGA6L24
GOLGA6L25P	GOLGA6L25
GPR1	CMKLR2
GPR1-AS	CMKLR2-AS
H2AL1QP	H2AL1Q
H2AL1RP	H2AL3
H2AL1SP	H2AL1MP
H2AW	H2AC25
H2BE1	H2BK1
H2BS1	H2BC12L
H2BU1	H2BC26
H2BU2P	H2BC27P
H3-2	H3-7
H4-16	H4C16
HDGFRP2	HDGFL2
HNRNPA1P48	HNRNPA1L3
HRAT5	PDCD6-DT
IGBP1P2	IGBP1C
KAZ	KAZN
KDELC1P1	POGLUT2P1
KIAA0100	BLTP2
KIAA0754	MACF1
KIAA0895	MATCAP2
KIAA0895L	MATCAP1
KIAA1107	BTBD8
KIAA1109	BLTP1
KIAA1841	SANBR
KRTAP12-6P	KRTAP12-5P
LINC00167	PRDM10-DT
LINC00211	PIRAT1
LINC00266-1	SEPTIN14P20
LINC00266-3	SEPTIN14P6
